PDB_CHAIN_ID,SP_PRIMARY,GENE,coverage
1A8M.A,P01375,TNF,0.6523605150214592
1A8M.B,P01375,TNF,0.6523605150214592
1A8M.C,P01375,TNF,0.6523605150214592
1A93.A,P01106,MYC,0.0683371298405467
1A9B.A,P30685,HLA-B,0.7651933701657458
1A9B.B,P61769,B2M,0.8319327731092437
1A9B.D,P30685,HLA-B,0.7651933701657458
1A9B.E,P61769,B2M,0.8319327731092437
1A9E.A,P30685,HLA-B,0.7651933701657458
1A9E.B,P61769,B2M,0.8319327731092437
1A9N.A,P09661,SNRPA1,0.6352941176470588
1A9N.B,P08579,SNRPB2,0.4177777777777778
1A9N.C,P09661,SNRPA1,0.6823529411764706
1A9N.D,P08579,SNRPB2,0.41333333333333333
1A9U.A,Q16539,MAPK14,0.975
1A9W.A,P69905,HBA1; HBA2,0.9929577464788732
1A9W.C,P69905,HBA1; HBA2,0.9929577464788732
1A9W.E,P02100,HBE1,0.9863945578231292
1A9W.F,P02100,HBE1,0.9863945578231292
1AA2.A,Q01082,SPTBN1,0.04568527918781726
1AA9.A,P01112,HRAS,0.9047619047619048
1AAP.A,P05067,APP,0.07272727272727272
1AAP.B,P05067,APP,0.07272727272727272
1AAX.A,P18031,PTPN1,0.6827586206896552
1AB2.A,P00519,ABL1,0.08938053097345133
1ABI.H,P00734,F2,0.40514469453376206
1ABI.L,P00734,F2,0.05305466237942122
1ABJ.H,P00734,F2,0.41479099678456594
1ABJ.L,P00734,F2,0.04340836012861737
1ABN.A,P15121,AKR1B1,0.9525316455696202
1ABW.A,P69905,HBA1; HBA2,0.9929577464788732
1ABW.B,P68871,HBB,0.9931972789115646
1ABW.D,P68871,HBB,0.9931972789115646
1ABY.A,P69905,HBA1; HBA2,0.9929577464788732
1ABY.B,P68871,HBB,0.9931972789115646
1ABY.D,P68871,HBB,0.9931972789115646
1AD5.A,P08631,HCK,0.8326996197718631
1AD5.B,P08631,HCK,0.8326996197718631
1AD6.A,P06400,RB1,0.19935344827586207
1AD8.H,P00734,F2,0.40192926045016075
1AD8.L,P00734,F2,0.04501607717041801
1ADQ.A,P01861,IGHG4,0.6299694189602446
1ADS.A,P15121,AKR1B1,0.9968354430379747
1ADX.A,P07204,THBD,0.06956521739130435
1ADZ.A,P10646,TFPI,0.23355263157894737
1AE5.A,P20160,AZU1,0.8884462151394423
1AE8.H,P00734,F2,0.40675241157556274
1AE8.L,P00734,F2,0.05787781350482315
1AFE.H,P00734,F2,0.40675241157556274
1AFE.L,P00734,F2,0.05787781350482315
1AFO.A,P02724,GYPA,0.26666666666666666
1AFO.B,P02724,GYPA,0.26666666666666666
1AGB.A,P30460,HLA-B,0.7624309392265194
1AGB.B,P61769,B2M,0.8319327731092437
1AGC.A,P30460,HLA-B,0.7624309392265194
1AGC.B,P61769,B2M,0.8319327731092437
1AGD.A,P30460,HLA-B,0.7624309392265194
1AGD.B,P61769,B2M,0.8319327731092437
1AGE.A,P30460,HLA-B,0.7624309392265194
1AGE.B,P61769,B2M,0.8319327731092437
1AGF.A,P30460,HLA-B,0.7624309392265194
1AGF.B,P61769,B2M,0.8319327731092437
1AGN.A,P40394,ADH7,0.966321243523316
1AGN.B,P40394,ADH7,0.966321243523316
1AGN.C,P40394,ADH7,0.966321243523316
1AGN.D,P40394,ADH7,0.966321243523316
1AGP.A,P01112,HRAS,0.8783068783068783
1AGS.A,P09210,GSTA2,0.9954954954954955
1AGS.B,P09210,GSTA2,0.9954954954954955
1AGW.A,P11362,FGFR1,0.33819951338199516
1AGW.B,P11362,FGFR1,0.3309002433090024
1AH1.A,P16410,CTLA4,0.5605381165919282
1AHT.H,P00734,F2,0.4035369774919614
1AHT.L,P00734,F2,0.04501607717041801
1AHW.C,P13726,F3,0.6779661016949152
1AHW.F,P13726,F3,0.6779661016949152
1AI0.A,P01308,INS,0.19090909090909092
1AI0.B,P01308,INS,0.2727272727272727
1AI0.C,P01308,INS,0.19090909090909092
1AI0.D,P01308,INS,0.2727272727272727
1AI0.E,P01308,INS,0.19090909090909092
1AI0.F,P01308,INS,0.2727272727272727
1AI0.G,P01308,INS,0.19090909090909092
1AI0.H,P01308,INS,0.2727272727272727
1AI0.I,P01308,INS,0.19090909090909092
1AI0.J,P01308,INS,0.2727272727272727
1AI0.K,P01308,INS,0.19090909090909092
1AI0.L,P01308,INS,0.2727272727272727
1AI8.H,P00734,F2,0.4035369774919614
1AI8.L,P00734,F2,0.04340836012861737
1AIE.A,P04637,TP53,0.07888040712468193
1AII.A,P12429,ANXA3,0.9969040247678018
1AIN.A,P04083,ANXA1,0.9075144508670521
1AIU.A,P10599,TXN,1.0
1AIX.H,P00734,F2,0.4035369774919614
1AIX.L,P00734,F2,0.04340836012861737
1AIY.A,P01308,INS,0.19090909090909092
1AIY.B,P01308,INS,0.2727272727272727
1AIY.C,P01308,INS,0.19090909090909092
1AIY.D,P01308,INS,0.2727272727272727
1AIY.E,P01308,INS,0.19090909090909092
1AIY.F,P01308,INS,0.2727272727272727
1AIY.G,P01308,INS,0.19090909090909092
1AIY.H,P01308,INS,0.2727272727272727
1AIY.I,P01308,INS,0.19090909090909092
1AIY.J,P01308,INS,0.2727272727272727
1AIY.K,P01308,INS,0.19090909090909092
1AIY.L,P01308,INS,0.2727272727272727
1AJ7.H,P01857,IGHG1,0.31212121212121213
1AJ9.A,P69905,HBA1; HBA2,0.9929577464788732
1AJ9.B,P68871,HBB,0.9931972789115646
1AJE.A,P60953,CDC42,0.9790575916230366
1AJJ.A,P01130,LDLR,0.04302325581395349
1AK4.A,P62937,PPIA,1.0
1AK4.B,P62937,PPIA,0.9878787878787879
1AKJ.A,P01892,HLA-A,0.7561643835616438
1AKJ.B,P61769,B2M,0.8235294117647058
1AKJ.D,P01732,CD8A,0.4851063829787234
1AKJ.E,P01732,CD8A,0.4851063829787234
1AKZ.A,P13051,UNG,0.7028753993610224
1ALD.A,P04075,ALDOA,0.9972527472527473
1ALE.A,P02654,APOC1,0.21686746987951808
1ALF.A,P02654,APOC1,0.2289156626506024
1ALG.A,P00390,GSR,0.04597701149425287
1ALU.A,P05231,IL6,0.7405660377358491
1ALY.A,P29965,CD40LG,0.5593869731800766
1AM4.A,Q07960,ARHGAP1,0.4533029612756264
1AM4.B,Q07960,ARHGAP1,0.4533029612756264
1AM4.C,Q07960,ARHGAP1,0.4533029612756264
1AM4.D,P60953,CDC42,0.9057591623036649
1AM4.E,P60953,CDC42,0.9057591623036649
1AM4.F,P60953,CDC42,0.9057591623036649
1AM6.A,P00918,CA2,0.9923076923076923
1AM9.A,P36956,SREBF1,0.06974716652136007
1AM9.B,P36956,SREBF1,0.06538796861377506
1AM9.C,P36956,SREBF1,0.07149084568439407
1AM9.D,P36956,SREBF1,0.06625980819529206
1AMB.A,P05067,APP,0.03636363636363636
1AMC.A,P05067,APP,0.03636363636363636
1AML.A,P05067,APP,0.05194805194805195
1AN0.A,P60953,CDC42,0.9895287958115183
1AN0.B,P60953,CDC42,0.9790575916230366
1AN2.A,P61244,MAX,0.5375
1AN4.A,P22415,USF1,0.2064516129032258
1AN4.B,P22415,USF1,0.2064516129032258
1ANG.A,P03950,ANG,0.8367346938775511
1ANP.A,P01160,NPPA,0.1830065359477124
1ANT.I,P01008,SERPINC1,0.8663793103448275
1ANT.L,P01008,SERPINC1,0.8448275862068966
1ANW.A,P08758,ANXA5,0.996875
1ANW.B,P08758,ANXA5,0.996875
1ANX.A,P08758,ANXA5,0.9875
1ANX.B,P08758,ANXA5,0.9875
1ANX.C,P08758,ANXA5,0.9875
1AO3.A,P04275,VWF,0.06647707074297902
1AO3.B,P04275,VWF,0.06647707074297902
1AO6.A,P02768,ALB,0.9490968801313628
1AO6.B,P02768,ALB,0.9490968801313628
1AO7.A,P01892,HLA-A,0.7506849315068493
1AO7.B,P61769,B2M,0.8319327731092437
1AO7.D,A0A075B6T6,TRAV12-2,0.7964601769911505
1AO7.D,P01848,TRAC,0.02857142857142857
1AO7.E,A0A0K0K1A5,TRBV6-5,0.8157894736842105
1AO7.E,A0A5B9,TRBC2,0.5337078651685393
1AOA.A,P13797,PLS3,0.3920634920634921
1AOS.A,P04424,ASL,0.935344827586207
1AOS.B,P04424,ASL,0.935344827586207
1AOT.F,P06241,FYN,0.1973929236499069
1AOU.F,P06241,FYN,0.1973929236499069
1AOX.A,P17301,ITGA2,0.1685012701100762
1AOX.B,P17301,ITGA2,0.1668077900084674
1AP4.A,P63316,TNNC1,0.5527950310559007
1AP5.A,P04179,SOD2,0.8918918918918919
1AP5.B,P04179,SOD2,0.8918918918918919
1AP6.A,P04179,SOD2,0.8918918918918919
1AP6.B,P04179,SOD2,0.8918918918918919
1APJ.A,P35555,FBN1,0.025774991292232673
1APQ.A,P00736,C1R,0.075177304964539
1APY.A,P20933,AGA,0.4653179190751445
1APY.B,P20933,AGA,0.407514450867052
1APY.C,P20933,AGA,0.4653179190751445
1APY.D,P20933,AGA,0.407514450867052
1APZ.A,P20933,AGA,0.4653179190751445
1APZ.B,P20933,AGA,0.407514450867052
1APZ.C,P20933,AGA,0.4653179190751445
1APZ.D,P20933,AGA,0.407514450867052
1AQ1.A,P24941,CDK2,0.9295302013422819
1AQC.A,Q02410,APBA1,0.15412186379928317
1AQC.B,Q02410,APBA1,0.14575866188769415
1AQD.A,P01903,HLA-DRA,0.7047244094488189
1AQD.B,P04229,HLA-DRB1,0.7030075187969925
1AQD.C,P01892,HLA-A,0.038356164383561646
1AQD.D,P01903,HLA-DRA,0.6968503937007874
1AQD.E,P04229,HLA-DRB1,0.7030075187969925
1AQD.F,P01892,HLA-A,0.03561643835616438
1AQD.G,P01903,HLA-DRA,0.6968503937007874
1AQD.H,P04229,HLA-DRB1,0.7030075187969925
1AQD.I,P01892,HLA-A,0.038356164383561646
1AQD.J,P01903,HLA-DRA,0.6968503937007874
1AQD.K,P04229,HLA-DRB1,0.706766917293233
1AQD.L,P01892,HLA-A,0.038356164383561646
1AQK.H,P01857,IGHG1,0.31212121212121213
1AQK.L,P0DOY3,IGLC3,1.0
1AQV.A,P09211,GSTP1,0.9952380952380953
1AQV.B,P09211,GSTP1,0.9952380952380953
1AQW.A,P09211,GSTP1,0.9952380952380953
1AQW.B,P09211,GSTP1,0.9952380952380953
1AQW.C,P09211,GSTP1,0.9952380952380953
1AQW.D,P09211,GSTP1,0.9952380952380953
1AQX.A,P09211,GSTP1,0.9904761904761905
1AQX.B,P09211,GSTP1,0.9904761904761905
1AQX.C,P09211,GSTP1,0.9904761904761905
1AQX.D,P09211,GSTP1,0.9904761904761905
1AR2.A,P01593,IGKV1D-33,0.811965811965812
1ARK.A,P20929,NEB,0.00899685110211426
1AS4.A,P01011,SERPINA3,0.7943262411347518
1AS4.B,P01011,SERPINA3,0.07801418439716312
1ATH.A,P01008,SERPINC1,0.8383620689655172
1ATH.B,P01008,SERPINC1,0.7801724137931035
1ATK.A,P43235,CTSK,0.6534954407294833
1ATU.A,P01009,SERPINA1,0.8947368421052632
1ATZ.A,P04275,VWF,0.06541059367223605
1ATZ.B,P04275,VWF,0.06718805545680769
1AU0.A,P43235,CTSK,0.6534954407294833
1AU1.A,P01574,IFNB1,0.8877005347593583
1AU1.B,P01574,IFNB1,0.8716577540106952
1AU2.A,P43235,CTSK,0.6534954407294833
1AU3.A,P43235,CTSK,0.6534954407294833
1AU4.A,P43235,CTSK,0.6534954407294833
1AU8.A,P08311,CTSG,0.8784313725490196
1AUC.A,P10599,TXN,1.0
1AUD.A,P09012,SNRPA,0.35815602836879434
1AUE.A,P42345,MTOR,0.036092585327579446
1AUE.B,P42345,MTOR,0.036877206747744216
1AUI.A,Q08209,PPP3CA,0.7255278310940498
1AUI.B,P63098,PPP3R1,0.9705882352941176
1AUK.A,P15289,ARSA,0.9487179487179487
1AUQ.A,P04275,VWF,0.07394241023817988
1AUT.C,P04070,PROC,0.5206073752711496
1AUT.L,P04070,PROC,0.21258134490238612
1AV1.A,P02647,APOA1,0.7490636704119851
1AV1.B,P02647,APOA1,0.7490636704119851
1AV1.C,P02647,APOA1,0.7490636704119851
1AV1.D,P02647,APOA1,0.7490636704119851
1AV5.A,P49773,HINT1,0.8968253968253969
1AV5.B,P49773,HINT1,0.8968253968253969
1AVF.A,P20142,PGC,0.8298969072164949
1AVF.J,P20142,PGC,0.8324742268041238
1AVF.P,P20142,PGC,0.05412371134020619
1AVF.Q,P20142,PGC,0.05670103092783505
1AVH.A,P08758,ANXA5,0.99375
1AVH.B,P08758,ANXA5,0.99375
1AVN.A,P00918,CA2,0.9884615384615385
1AVO.A,Q06323,PSME1,0.24096385542168675
1AVO.B,Q06323,PSME1,0.5582329317269076
1AVO.C,Q06323,PSME1,0.24096385542168675
1AVO.D,Q06323,PSME1,0.5582329317269076
1AVO.E,Q06323,PSME1,0.24096385542168675
1AVO.F,Q06323,PSME1,0.5582329317269076
1AVO.G,Q06323,PSME1,0.24096385542168675
1AVO.H,Q06323,PSME1,0.5582329317269076
1AVO.I,Q06323,PSME1,0.24096385542168675
1AVO.J,Q06323,PSME1,0.5582329317269076
1AVO.K,Q06323,PSME1,0.24096385542168675
1AVO.L,Q06323,PSME1,0.5582329317269076
1AVO.M,Q06323,PSME1,0.24096385542168675
1AVO.N,Q06323,PSME1,0.5582329317269076
1AVR.A,P08758,ANXA5,0.990625
1AVZ.C,P06241,FYN,0.10614525139664804
1AW0.A,Q04656,ATP7A,0.048
1AWB.A,P29218,IMPA1,0.9819494584837545
1AWB.B,P29218,IMPA1,0.9819494584837545
1AWE.A,Q07889,SOS1,0.09752438109527382
1AWF.H,P00734,F2,0.41479099678456594
1AWF.L,P00734,F2,0.04340836012861737
1AWH.A,P00734,F2,0.05787781350482315
1AWH.B,P00734,F2,0.41639871382636656
1AWH.C,P00734,F2,0.05787781350482315
1AWH.D,P00734,F2,0.41639871382636656
1AWI.A,P07737,PFN1,0.9857142857142858
1AWI.B,P07737,PFN1,0.9857142857142858
1AWO.A,P00519,ABL1,0.050442477876106194
1AWQ.A,P62937,PPIA,0.9939393939393939
1AWR.A,P62937,PPIA,0.9939393939393939
1AWR.B,P62937,PPIA,0.9939393939393939
1AWR.C,P62937,PPIA,0.9939393939393939
1AWR.D,P62937,PPIA,0.9939393939393939
1AWR.E,P62937,PPIA,0.9939393939393939
1AWR.F,P62937,PPIA,0.9939393939393939
1AWS.A,P62937,PPIA,0.9939393939393939
1AWT.A,P62937,PPIA,0.9939393939393939
1AWT.B,P62937,PPIA,0.9939393939393939
1AWT.C,P62937,PPIA,0.9939393939393939
1AWT.D,P62937,PPIA,0.9939393939393939
1AWT.E,P62937,PPIA,0.9939393939393939
1AWT.F,P62937,PPIA,0.9939393939393939
1AWU.A,P62937,PPIA,0.9939393939393939
1AWV.A,P62937,PPIA,0.9939393939393939
1AWV.B,P62937,PPIA,0.9939393939393939
1AWV.C,P62937,PPIA,0.9939393939393939
1AWV.D,P62937,PPIA,0.9939393939393939
1AWV.E,P62937,PPIA,0.9939393939393939
1AWV.F,P62937,PPIA,0.9939393939393939
1AWW.A,Q06187,BTK,0.09863429438543247
1AWX.A,Q06187,BTK,0.09863429438543247
1AWZ.A,P03950,ANG,0.8367346938775511
1AX8.A,P41159,LEP,0.7784431137724551
1AXC.A,P12004,PCNA,0.9540229885057471
1AXC.B,P38936,CDKN1A,0.10975609756097561
1AXC.C,P12004,PCNA,0.950191570881226
1AXC.D,P38936,CDKN1A,0.10975609756097561
1AXC.E,P12004,PCNA,0.9693486590038314
1AXC.F,P38936,CDKN1A,0.10975609756097561
1AXI.A,P01241,GH1,0.8064516129032258
1AXI.B,P10912,GHR,0.2993730407523511
1AXM.A,P05230,FGF1,0.8387096774193549
1AXM.B,P05230,FGF1,0.8193548387096774
1AXM.C,P05230,FGF1,0.8258064516129032
1AXM.D,P05230,FGF1,0.8193548387096774
1AXM.E,P05230,FGF1,0.832258064516129
1AXM.F,P05230,FGF1,0.832258064516129
1AXN.A,P12429,ANXA3,0.9969040247678018
1AXS.B,P01857,IGHG1,0.30606060606060603
1AXS.H,P01857,IGHG1,0.30606060606060603
1AY6.H,P00734,F2,0.40514469453376206
1AY6.L,P00734,F2,0.04662379421221865
1AYE.A,P48052,CPA2,0.9570405727923628
1AYK.A,P03956,MMP1,0.3603411513859275
1AYP.A,P14555,PLA2G2A,0.8611111111111112
1AYP.B,P14555,PLA2G2A,0.8611111111111112
1AYP.C,P14555,PLA2G2A,0.8611111111111112
1AYP.D,P14555,PLA2G2A,0.8611111111111112
1AYP.E,P14555,PLA2G2A,0.8611111111111112
1AYP.F,P14555,PLA2G2A,0.8611111111111112
1AYU.A,P43235,CTSK,0.6534954407294833
1AYV.A,P43235,CTSK,0.6534954407294833
1AYW.A,P43235,CTSK,0.6534954407294833
1AZ1.A,P15121,AKR1B1,0.9936708860759493
1AZ2.A,P15121,AKR1B1,0.9936708860759493
1AZE.A,P62993,GRB2,0.25806451612903225
1AZG.A,P27986,PIK3R1,0.019337016574585635
1AZG.B,P06241,FYN,0.10800744878957169
1AZM.A,P00915,CA1,0.9885057471264368
1AZV.A,P00441,SOD1,0.9935064935064936
1AZV.B,P00441,SOD1,0.9935064935064936
1AZX.I,P01008,SERPINC1,0.8987068965517241
1AZX.L,P01008,SERPINC1,0.8922413793103448
1B08.A,P35247,SFTPD,0.4053333333333333
1B08.B,P35247,SFTPD,0.4026666666666667
1B08.C,P35247,SFTPD,0.39466666666666667
1B09.A,P02741,CRP,0.9196428571428571
1B09.B,P02741,CRP,0.9196428571428571
1B09.C,P02741,CRP,0.9196428571428571
1B09.D,P02741,CRP,0.9196428571428571
1B09.E,P02741,CRP,0.9196428571428571
1B0F.A,P08246,ELANE,0.8164794007490637
1B0G.A,P01892,HLA-A,0.7534246575342466
1B0G.B,P61769,B2M,0.8319327731092437
1B0G.C,Q9NPA0,EMC7,0.0371900826446281
1B0G.D,P01892,HLA-A,0.7534246575342466
1B0G.E,P61769,B2M,0.8319327731092437
1B0L.A,P02788,LTF,0.9732394366197183
1B0R.A,P01892,HLA-A,0.736986301369863
1B0R.B,P61769,B2M,0.8319327731092437
1B0W.A,P01594,IGKV1-33,0.811965811965812
1B0W.B,P01594,IGKV1-33,0.811965811965812
1B0W.C,P01594,IGKV1-33,0.811965811965812
1B1C.A,P16435,POR,0.24519940915805022
1B1E.A,P03950,ANG,0.8367346938775511
1B1I.A,P03950,ANG,0.8367346938775511
1B1J.A,P03950,ANG,0.8367346938775511
1B22.A,Q06609,RAD51,0.20648967551622419
1B2I.A,P00747,PLG,0.10246913580246914
1B2T.A,P78423,CX3CL1,0.19143576826196473
1B2Y.A,P04746,AMY2A,0.9686888454011742
1B34.A,P62314,SNRPD1,0.6722689075630253
1B34.B,P62316,SNRPD2,0.6271186440677966
1B38.A,P24941,CDK2,0.9731543624161074
1B39.A,P24941,CDK2,0.9731543624161074
1B3A.A,P13501,CCL5,0.7362637362637363
1B3A.B,P13501,CCL5,0.7362637362637363
1B3D.A,P08254,MMP3,0.35429769392033544
1B3D.B,P08254,MMP3,0.36268343815513626
1B3E.A,P02787,TF,0.47277936962750716
1B3J.A,Q29983,MICA,0.6892950391644909
